geoAreaCode	geoAreaName	Goal	Goal Description	Target	Target Description	Indicator	Indicator Description	Tier	Release	Series	Series Description
142	Asia	 Goal 1	End poverty in all its forms everywhere]	 Target 1.3	Implement nationally appropriate social protection systems and measures for all, including floors, and by 2030 achieve substantial coverage of the poor and the vulnerable	 Indicator 1.3.1	Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable	Tier 1	2017.Q2.G.01	SI_COV_MATNL	Proportion of mothers receiving maternity benefits and benefits for newborns, total (%)
142	Asia	 Goal 1	End poverty in all its forms everywhere]	 Target 1.3	Implement nationally appropriate social protection systems and measures for all, including floors, and by 2030 achieve substantial coverage of the poor and the vulnerable	 Indicator 1.3.1	Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable	Tier 1	2017.Q2.G.01	SI_COV_UEMP	Proportion of unemployed population receiving unemployment benefits, total and by sex (%)
142	Asia	 Goal 1	End poverty in all its forms everywhere]	 Target 1.3	Implement nationally appropriate social protection systems and measures for all, including floors, and by 2030 achieve substantial coverage of the poor and the vulnerable	 Indicator 1.3.1	Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable	Tier 1	2017.Q2.G.01	SI_COV_BENFTS	Proportion of population covered by at least one social protection floor/system, total (%)
142	Asia	 Goal 1	End poverty in all its forms everywhere]	 Target 1.3	Implement nationally appropriate social protection systems and measures for all, including floors, and by 2030 achieve substantial coverage of the poor and the vulnerable	 Indicator 1.3.1	Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable	Tier 1	2017.Q2.G.01	SI_COV_VULN	Proportion of vulnerable population covered by social protection floors/systems, total (%)
142	Asia	 Goal 1	End poverty in all its forms everywhere]	 Target 1.3	Implement nationally appropriate social protection systems and measures for all, including floors, and by 2030 achieve substantial coverage of the poor and the vulnerable	 Indicator 1.3.1	Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable	Tier 1	2017.Q2.G.01	SI_COV_DISAB	Proportion of population with severe disabilities collecting disability social protection benefits, total (%)
142	Asia	 Goal 1	End poverty in all its forms everywhere]	 Target 1.3	Implement nationally appropriate social protection systems and measures for all, including floors, and by 2030 achieve substantial coverage of the poor and the vulnerable	 Indicator 1.3.1	Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable	Tier 1	2017.Q2.G.01	SI_COV_PENSN	Proportion of population above retirement age receiving a pension, total and by sex (%)
142	Asia	 Goal 2	End hunger, achieve food security and improved nutrition and promote sustainable agriculture]	 Target 2.1	By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round	 Indicator 2.1.2	Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)	Tier 1	2017.Q2.G.01	AG_PRD_FIESMS	Estimated prevalence of moderate or severe food insecurity in the population
142	Asia	 Goal 2	End hunger, achieve food security and improved nutrition and promote sustainable agriculture]	 Target 2.1	By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round	 Indicator 2.1.2	Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)	Tier 1	2017.Q2.G.01	AG_PRD_FIESSN	Estimated number of population in severe food insecurity
142	Asia	 Goal 2	End hunger, achieve food security and improved nutrition and promote sustainable agriculture]	 Target 2.1	By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round	 Indicator 2.1.2	Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)	Tier 1	2017.Q2.G.01	AG_PRD_FIESS	Estimated prevalence of severe food insecurity in the population
142	Asia	 Goal 2	End hunger, achieve food security and improved nutrition and promote sustainable agriculture]	 Target 2.1	By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round	 Indicator 2.1.2	Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)	Tier 1	2017.Q2.G.01	AG_PRD_FIESMSN	Estimated number of population in moderate or severe food insecurity
