geoAreaCode	geoAreaName	Goal	Goal Description	Target	Target Description	Indicator	Indicator Description	Tier	Release	Series	Series Description
485	Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)	 Goal 1	End poverty in all its forms everywhere]	 Target 1.1	By 2030, eradicate extreme poverty for all people everywhere, currently measured as people living on less than $1.25 a day	 Indicator 1.1.1	Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)	Tier 1	2017.Q2.G.01	SI_POV_EMP1	Proportion of employed population below the international poverty line of US$1.90 per day (the working poor), total and by sex, age (%)
485	Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)	 Goal 2	End hunger, achieve food security and improved nutrition and promote sustainable agriculture]	 Target 2.1	By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round	 Indicator 2.1.1	Prevalence of undernourishment	Tier 1	2017.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment
485	Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)	 Goal 2	End hunger, achieve food security and improved nutrition and promote sustainable agriculture]	 Target 2.1	By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round	 Indicator 2.1.2	Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)	Tier 1	2017.Q2.G.01	AG_PRD_FIESSN	Estimated number of population in severe food insecurity
485	Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)	 Goal 2	End hunger, achieve food security and improved nutrition and promote sustainable agriculture]	 Target 2.1	By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round	 Indicator 2.1.2	Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)	Tier 1	2017.Q2.G.01	AG_PRD_FIESMS	Estimated prevalence of moderate or severe food insecurity in the population
485	Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)	 Goal 2	End hunger, achieve food security and improved nutrition and promote sustainable agriculture]	 Target 2.1	By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round	 Indicator 2.1.2	Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)	Tier 1	2017.Q2.G.01	AG_PRD_FIESS	Estimated prevalence of severe food insecurity in the population
485	Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)	 Goal 2	End hunger, achieve food security and improved nutrition and promote sustainable agriculture]	 Target 2.1	By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round	 Indicator 2.1.2	Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)	Tier 1	2017.Q2.G.01	AG_PRD_FIESMSN	Estimated number of population in moderate or severe food insecurity
485	Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)	 Goal 2	End hunger, achieve food security and improved nutrition and promote sustainable agriculture]	 Target 2.2	By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons	 Indicator 2.2.1	Prevalence of stunting (height for age <-2 standard deviation from the median of the World Health Organization (WHO) Child Growth Standards) among children under 5 years of age	Tier 1	2017.Q2.G.01	SH_STA_STNT	Proportion of stunted children (height for age below minus two standard deviations from the median) under the age of 5 years
485	Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)	 Goal 2	End hunger, achieve food security and improved nutrition and promote sustainable agriculture]	 Target 2.2	By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons	 Indicator 2.2.2	Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)	Tier 1	2017.Q2.G.01	SH_STA_WAST	Proportion of wasted children (weight for height below minus two standard deviations from the median) under the age of 5 years
485	Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)	 Goal 2	End hunger, achieve food security and improved nutrition and promote sustainable agriculture]	 Target 2.2	By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons	 Indicator 2.2.2	Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)	Tier 1	2017.Q2.G.01	SH_STA_WASTN	Number of wasted children (weight for height below minus two standard deviations from the median) under the age of 5 years
485	Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)	 Goal 2	End hunger, achieve food security and improved nutrition and promote sustainable agriculture]	 Target 2.2	By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons	 Indicator 2.2.2	Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)	Tier 1	2017.Q2.G.01	SN_STA_OVWGT	Proportion of overweight children (weight for height above plus two standard deviations from the median) under the age of 5 years
